First,Last,congressman,affiliation
Kyrsten,Sinema,Kyrsten Sinema (Representative from Arizona),d
Albio,Sires,Albio Sires (Representative from New Jersey),d
Louise,Slaughter,Louise Slaughter (Representative from New York),d
Jason,Smith,Jason Smith (Representative from Missouri),r
Adam,Smith,Adam Smith (Representative from Washington),d
Lamar,Smith,Lamar Smith (Representative from Texas),r
Adrian,Smith,Adrian Smith (Representative from Nebraska),r
Steve,Southerland,Steve Southerland (Representative from Florida),r
Jackie,Speier,Jackie Speier (Representative from California),r
Debbie,Stabenow,Debbie Stabenow (Senator from Michigan),d
Chris,Stewart,Chris Stewart (Representative from Utah),r
Steve,Stivers,Steve Stivers (Representative from Ohio),r
Steve,Stockman,Steve Stockman (Representative from Texas),r
Marlin,Stutzman,Marlin Stutzman (Representative from Indiana),r
Eric,Swalwell,Eric Swalwell (Representative from California),d
Mark,Takano,Mark Takano (Representative from California),d
Lee,Terry,Lee Terry (Representative from Nebraska),r
Jon,Tester,Jon Tester (Senator from Montana),d
Glenn,Thompson,Glenn Thompson (Representative from Pennsylvania),r
Mike,Thompson,Mike Thompson (Representative from California),d
Bennie,Thompson,Bennie Thompson (Representative from Mississippi),d
William,Thornberry,William Thornberry (Representative from Texas),r
John,Thune,John Thune (Senator from South Dakota),r
Pat,Tiberi,Pat Tiberi (Representative from Ohio),r
John,Tierney,John Tierney (Representative from Massachusetts),d
Scott,Tipton,Scott Tipton (Representative from Colorado),r
Dina,Titus,Dina Titus (Representative from Nevada),d
Paul,Tonko,Paul Tonko (Representative from New York),d
Patrick,Toomey,Patrick Toomey (Senator from Pennsylvania),r
Niki,Tsongas,Niki Tsongas (Representative from Massachusetts),d
Michael,Turner,Michael Turner (Representative from Ohio),r
Mark,Udall,Mark Udall (Senator from Colorado),d
Tom,Udall,Tom Udall (Senator from New Mexico),d
Fred,Upton,Fred Upton (Representative from Michigan),r
David,Valadao,David Valadao (Representative from California),r
Chris,Van,Chris Van Hollen (Representative from Maryland),d
Juan,Vargas,Juan Vargas (Representative from California),d
Marc,Veasey,Marc Veasey (Representative from Texas),d
Filemon,Vela,Filemon Vela (Representative from Texas),d
Nydia,Velazquez,Nydia Velazquez (Representative from New York),d
Peter,Visclosky,Peter Visclosky (Representative from Indiana),d
David,Vitter,David Vitter (Senator from Louisiana),r
Ann,Wagner,Ann Wagner (Representative from Missouri),r
Tim,Walberg,Tim Walberg (Representative from Michigan),r
Greg,Walden,Greg Walden (Representative from Oregon),r
Jackie,Walorski,Jackie Walorski (Representative from Indiana),r
Tim,Walz,Tim Walz (Representative from Minnesota),d
Mark,Warner,Mark Warner (Senator from Virginia),d
Elizabeth,Warren,Elizabeth Warren (Senator from Massachusetts),d
Debbie,Wasserman,Debbie Wasserman Schultz (Representative from Florida),d
Maxine,Waters,Maxine Waters (Representative from California),d
Henry,Waxman,Henry Waxman (Representative from California),d
Randy,Weber,Randy Weber (Representative from Texas),r
Daniel,Webster,Daniel Webster (Representative from Florida),r
Peter,Welch,Peter Welch (Representative from Vermont),d
Brad,Wenstrup,Brad Wenstrup (Representative from Ohio),r
Lynn,Westmoreland,Lynn Westmoreland (Representative from Georgia),r
